caso,mat_prod,mat_prod_dot,matmul
"m < n, pequena (15, 10, 30)",8.1145e-6,5.39275e-5,3.332e-6
"m < n, grande (300, 200, 500)",0.01161265,0.105713048,0.0012369855
"m = n, grande (500, 500, 500)",0.0433801385,0.720044051,0.005167066
"m > n, grande (500, 200, 300)",0.010762894,0.1033686695,0.0024328215
"m = n, pequena (30, 30, 30)",2.56425e-5,0.0001345635,8.1015e-6
"m > n, pequena (30, 10, 15)",1.2027e-5,4.23975e-5,3.016e-6
