,mat_prod,mat_prod_dot,matmul
"m < n, pequena (15, 10, 30)",1.0,3.8100157110146684,437.2701961202964
"m > n, pequena (30, 10, 15)",1.0,3.1666872825749652,339.11539098520626
"m = n, pequena (30, 30, 30)",1.0,9.243346017987824,1148.3454630812914
