caso,baseline,mat_prod_dot,matmul
"m < n, pequena (15, 10, 30)",1.0,0.15047053914978442,2.435324129651861
"m < n, grande (300, 200, 500)",1.0,0.10985067803550608,9.38786267098523
"m = n, grande (500, 500, 500)",1.0,0.06024650636270585,8.395506947269496
"m > n, grande (500, 200, 300)",1.0,0.1041214330421463,4.42403768628319
"m = n, pequena (30, 30, 30)",1.0,0.19056059035325332,3.1651546009998146
"m > n, pequena (30, 10, 15)",1.0,0.2836723863435344,3.987732095490716
