caso,baseline,mat_prod_dot,matmul
"m < n, pequena (15, 10, 30)",1.0,0.1567952406495343,2.406376290974405
"m < n, grande (300, 200, 500)",1.0,0.11319592890070887,4.089937619359156
"m = n, grande (500, 500, 500)",1.0,0.06457243173981755,7.076249505432516
"m > n, grande (500, 200, 300)",1.0,0.10753360360235258,7.252996391524723
"m = n, pequena (30, 30, 30)",1.0,0.19213011621272635,4.727096416697451
"m > n, pequena (30, 10, 15)",1.0,0.2094973752488988,3.2590738423028784
