,mat_prod,mat_prod_dot,matmul
"m < n, pequena (15, 10, 30)",0.003127781000102914,0.0006908660000135569,3.523200007293781e-05
"m > n, pequena (30, 10, 15)",0.0032092229998852417,0.0006562579999354057,2.1672999992006226e-05
"m = n, pequena (30, 30, 30)",0.020553338999889093,0.0013028949999807082,3.734899996743479e-05
"m < n, grande (300, 200, 500)",20.196648775000085,0.25699250100001336,0.010451014999944164
"m > n, grande (500, 200, 300)",19.014952556000026,0.25642450699979236,0.001717405000135841
"m = n, grande (500, 500, 500)",79.66718073800007,0.6006679790000362,0.006988966000108121
